gUserId,yellowValue
1,Yellow thinks I am 5% confident red will win
1,Yellow thinks I am 15% confident yellow will win
1,Yellow thinks I am 12% confident yellow will win
1,Yellow thinks I am 28% confident red will win
1,Yellow thinks I am 15% confident red will win
1,Yellow thinks I am 30% confident red will win
1,Yellow thinks I am 57% confident red will win
1,Yellow thinks I am 97% confident yellow will win
1,Yellow thinks I am 5% confident red will win
1,Yellow thinks I am 11% confident red will win
1,Yellow thinks I am 8% confident yellow will win
1,Yellow thinks I am 22% confident yellow will win
1,Yellow thinks I am 5% confident red will win
1,Yellow thinks I am 18% confident yellow will win
1,Yellow thinks I am 19% confident yellow will win
1,Yellow thinks I am 19% confident yellow will win
